method,drug,metric,value
gemini,latanoprost,recall,0.4
gemini,latanoprost,f1,0.5454545454545455
gemini,latanoprost,accuracy,0.9816176470588235
gemini,latanoprost,specificity,0.998109640831758
gemini,latanoprost,kappa,0.5373362816805571
llama,latanoprost,precision,1.0
llama,latanoprost,recall,0.26666666666666666
llama,latanoprost,f1,0.4210526315789474
llama,latanoprost,accuracy,0.9797794117647058
llama,latanoprost,specificity,1.0
llama,latanoprost,kappa,0.41425215348472966
BC-FuzzyEq,iohexol,precision,1.0
BC-FuzzyEq,iohexol,recall,0.058823529411764705
BC-FuzzyEq,iohexol,f1,0.1111111111111111
BC-FuzzyEq,iohexol,accuracy,0.9705882352941176
BC-FuzzyEq,iohexol,specificity,1.0
BC-FuzzyEq,iohexol,kappa,0.10801393728222941
BC-Curated,iohexol,precision,1.0
BC-Curated,iohexol,recall,1.0
BC-Curated,iohexol,f1,1.0
BC-Curated,iohexol,accuracy,1.0
BC-Curated,iohexol,specificity,1.0
BC-Curated,iohexol,kappa,1.0
BC-EmbedEq,iohexol,precision,0.5
BC-EmbedEq,iohexol,recall,0.17647058823529413
BC-EmbedEq,iohexol,f1,0.2608695652173913
BC-EmbedEq,iohexol,accuracy,0.96875
BC-EmbedEq,iohexol,specificity,0.9943074003795066
BC-EmbedEq,iohexol,kappa,0.24861878453038733
BC-Final,iohexol,precision,0.85
BC-Final,iohexol,recall,1.0
BC-Final,iohexol,f1,0.9189189189189189
BC-Final,iohexol,accuracy,0.9944852941176471
BC-Final,iohexol,specificity,0.9943074003795066
BC-Final,iohexol,kappa,0.9160839160839164
gpt,iohexol,precision,0.0
gpt,iohexol,recall,0.0
gpt,iohexol,f1,0.0
gpt,iohexol,accuracy,0.96875
gpt,iohexol,specificity,1.0
gpt,iohexol,kappa,0.0
grok,iohexol,precision,1.0
grok,iohexol,recall,0.7058823529411765
grok,iohexol,f1,0.8275862068965517
grok,iohexol,accuracy,0.9908088235294118
grok,iohexol,specificity,1.0
grok,iohexol,kappa,0.8230088495575226
gemini,iohexol,precision,0.0
gemini,iohexol,recall,0.0
gemini,iohexol,f1,0.0
gemini,iohexol,accuracy,0.96875
gemini,iohexol,specificity,1.0
gemini,iohexol,kappa,0.0
llama,iohexol,precision,1.0
llama,iohexol,recall,0.058823529411764705
llama,iohexol,f1,0.1111111111111111
llama,iohexol,accuracy,0.9705882352941176
llama,iohexol,specificity,1.0
llama,iohexol,kappa,0.10801393728222941
