method,gene,metric,value
BC-FuzzyEq,csnk2b,kappa,0.08878587983597774
BC-Curated,csnk2b,precision,1.0
BC-Curated,csnk2b,recall,1.0
BC-Curated,csnk2b,f1,1.0
BC-Curated,csnk2b,accuracy,1.0
BC-Curated,csnk2b,specificity,1.0
BC-Curated,csnk2b,kappa,1.0
BC-EmbedEq,csnk2b,precision,1.0
BC-EmbedEq,csnk2b,recall,0.7
BC-EmbedEq,csnk2b,f1,0.8235294117647058
BC-EmbedEq,csnk2b,accuracy,0.9776951672862454
BC-EmbedEq,csnk2b,specificity,1.0
BC-EmbedEq,csnk2b,kappa,0.8120195667365482
BC-Final,csnk2b,precision,1.0
BC-Final,csnk2b,recall,1.0
BC-Final,csnk2b,f1,1.0
BC-Final,csnk2b,accuracy,1.0
BC-Final,csnk2b,specificity,1.0
BC-Final,csnk2b,kappa,1.0
gpt,csnk2b,precision,1.0
gpt,csnk2b,recall,0.45
gpt,csnk2b,f1,0.6206896551724138
gpt,csnk2b,accuracy,0.9591078066914498
gpt,csnk2b,specificity,1.0
gpt,csnk2b,kappa,0.6023383953769653
grok,csnk2b,precision,1.0
grok,csnk2b,recall,0.35
grok,csnk2b,f1,0.5185185185185185
grok,csnk2b,accuracy,0.9516728624535316
grok,csnk2b,specificity,1.0
grok,csnk2b,kappa,0.4992123729056273
gemini,csnk2b,precision,1.0
gemini,csnk2b,recall,0.55
gemini,csnk2b,f1,0.7096774193548387
gemini,csnk2b,accuracy,0.966542750929368
gemini,csnk2b,specificity,1.0
gemini,csnk2b,kappa,0.6935055070262058
llama,csnk2b,precision,1.0
llama,csnk2b,recall,0.3
llama,csnk2b,f1,0.4615384615384615
llama,csnk2b,accuracy,0.9479553903345725
llama,csnk2b,specificity,1.0
llama,csnk2b,kappa,0.44240450103642337
