method,disease,metric,value
BC-Curated,osteoarthritis,accuracy,0.9422310756972112
BC-Curated,osteoarthritis,specificity,1.0
BC-Curated,osteoarthritis,kappa,0.27794861620870975
BC-EmbedEq,osteoarthritis,precision,1.0
BC-EmbedEq,osteoarthritis,recall,1.0
BC-EmbedEq,osteoarthritis,f1,1.0
BC-EmbedEq,osteoarthritis,accuracy,1.0
BC-EmbedEq,osteoarthritis,specificity,1.0
BC-EmbedEq,osteoarthritis,kappa,1.0
BC-Final,osteoarthritis,precision,1.0
BC-Final,osteoarthritis,recall,1.0
BC-Final,osteoarthritis,f1,1.0
BC-Final,osteoarthritis,accuracy,1.0
BC-Final,osteoarthritis,specificity,1.0
BC-Final,osteoarthritis,kappa,1.0
gpt,osteoarthritis,precision,1.0
gpt,osteoarthritis,recall,0.4857142857142857
gpt,osteoarthritis,f1,0.6538461538461539
gpt,osteoarthritis,accuracy,0.9641434262948207
gpt,osteoarthritis,specificity,1.0
gpt,osteoarthritis,kappa,0.6373123544994784
grok,osteoarthritis,precision,1.0
grok,osteoarthritis,recall,0.5714285714285714
grok,osteoarthritis,f1,0.7272727272727273
grok,osteoarthritis,accuracy,0.9701195219123506
grok,osteoarthritis,specificity,1.0
grok,osteoarthritis,kappa,0.7127050743990847
gemini,osteoarthritis,precision,1.0
gemini,osteoarthritis,recall,0.45714285714285713
gemini,osteoarthritis,f1,0.6274509803921569
gemini,osteoarthritis,accuracy,0.9621513944223108
gemini,osteoarthritis,specificity,1.0
gemini,osteoarthritis,kappa,0.6104076464341153
llama,osteoarthritis,precision,1.0
llama,osteoarthritis,recall,0.42857142857142855
llama,osteoarthritis,f1,0.6
llama,osteoarthritis,accuracy,0.9601593625498008
llama,osteoarthritis,specificity,1.0
llama,osteoarthritis,kappa,0.5825363825363827
BC-FuzzyEq,urolithiasis,precision,1.0
BC-FuzzyEq,urolithiasis,recall,0.15217391304347827
BC-FuzzyEq,urolithiasis,f1,0.2641509433962264
BC-FuzzyEq,urolithiasis,accuracy,0.9223107569721115
BC-FuzzyEq,urolithiasis,specificity,1.0
BC-FuzzyEq,urolithiasis,kappa,0.24589785070487633
BC-Curated,urolithiasis,precision,1.0
BC-Curated,urolithiasis,recall,0.021739130434782608
BC-Curated,urolithiasis,f1,0.042553191489361694
BC-Curated,urolithiasis,accuracy,0.9103585657370518
BC-Curated,urolithiasis,specificity,1.0
BC-Curated,urolithiasis,kappa,0.03880520806739803
BC-EmbedEq,urolithiasis,precision,1.0
BC-EmbedEq,urolithiasis,recall,0.9130434782608695
BC-EmbedEq,urolithiasis,f1,0.9545454545454545
BC-EmbedEq,urolithiasis,accuracy,0.9920318725099602
BC-EmbedEq,urolithiasis,specificity,1.0
BC-EmbedEq,urolithiasis,kappa,0.950188529470133
BC-Final,urolithiasis,precision,1.0
BC-Final,urolithiasis,recall,0.9130434782608695
BC-Final,urolithiasis,f1,0.9545454545454545
BC-Final,urolithiasis,accuracy,0.9920318725099602
BC-Final,urolithiasis,specificity,1.0
BC-Final,urolithiasis,kappa,0.950188529470133
gpt,urolithiasis,precision,1.0
gpt,urolithiasis,recall,0.41304347826086957
gpt,urolithiasis,f1,0.5846153846153846
gpt,urolithiasis,accuracy,0.9462151394422311
gpt,urolithiasis,specificity,1.0
gpt,urolithiasis,kappa,0.5611035554692057
grok,urolithiasis,precision,1.0
grok,urolithiasis,recall,0.8478260869565217
grok,urolithiasis,f1,0.9176470588235294
grok,urolithiasis,accuracy,0.9860557768924303
grok,urolithiasis,specificity,1.0
grok,urolithiasis,kappa,0.9100864848267746
gemini,urolithiasis,precision,0.9761904761904762
gemini,urolithiasis,recall,0.8913043478260869
gemini,urolithiasis,f1,0.9318181818181818
gemini,urolithiasis,accuracy,0.9880478087649402
gemini,urolithiasis,specificity,0.9978070175438597
gemini,urolithiasis,kappa,0.9252827942051995
llama,urolithiasis,precision,1.0
llama,urolithiasis,recall,0.7608695652173914
llama,urolithiasis,f1,0.8641975308641976
llama,urolithiasis,accuracy,0.9780876494023905
llama,urolithiasis,specificity,1.0
llama,urolithiasis,kappa,0.8525185620426261
BC-FuzzyEq,gestational diabetes,precision,1.0
BC-FuzzyEq,gestational diabetes,recall,0.6
BC-FuzzyEq,gestational diabetes,f1,0.7499999999999999
BC-FuzzyEq,gestational diabetes,accuracy,0.9960159362549801
BC-FuzzyEq,gestational diabetes,specificity,1.0
BC-FuzzyEq,gestational diabetes,kappa,0.7481184144505767
BC-Curated,gestational diabetes,precision,1.0
BC-Curated,gestational diabetes,recall,0.8
BC-Curated,gestational diabetes,f1,0.888888888888889
BC-Curated,gestational diabetes,accuracy,0.99800796812749
BC-Curated,gestational diabetes,specificity,1.0
BC-Curated,gestational diabetes,kappa,0.8878963823135326
BC-EmbedEq,gestational diabetes,precision,1.0
BC-EmbedEq,gestational diabetes,recall,1.0
BC-EmbedEq,gestational diabetes,f1,1.0
BC-EmbedEq,gestational diabetes,accuracy,1.0
BC-EmbedEq,gestational diabetes,specificity,1.0
BC-EmbedEq,gestational diabetes,kappa,1.0
BC-Final,gestational diabetes,precision,1.0
BC-Final,gestational diabetes,recall,1.0
BC-Final,gestational diabetes,f1,1.0
BC-Final,gestational diabetes,accuracy,1.0
BC-Final,gestational diabetes,specificity,1.0
BC-Final,gestational diabetes,kappa,1.0
gpt,gestational diabetes,precision,1.0
gpt,gestational diabetes,recall,0.8
gpt,gestational diabetes,f1,0.888888888888889
gpt,gestational diabetes,accuracy,0.99800796812749
gpt,gestational diabetes,specificity,1.0
gpt,gestational diabetes,kappa,0.8878963823135326
grok,gestational diabetes,precision,1.0
grok,gestational diabetes,recall,1.0
grok,gestational diabetes,f1,1.0
grok,gestational diabetes,accuracy,1.0
grok,gestational diabetes,specificity,1.0
grok,gestational diabetes,kappa,1.0
gemini,gestational diabetes,precision,1.0
gemini,gestational diabetes,recall,0.8
gemini,gestational diabetes,f1,0.888888888888889
gemini,gestational diabetes,accuracy,0.99800796812749
gemini,gestational diabetes,specificity,1.0
gemini,gestational diabetes,kappa,0.8878963823135326
llama,gestational diabetes,precision,1.0
llama,gestational diabetes,recall,0.6
llama,gestational diabetes,f1,0.7499999999999999
llama,gestational diabetes,accuracy,0.9960159362549801
llama,gestational diabetes,specificity,1.0
llama,gestational diabetes,kappa,0.7481184144505767
BC-FuzzyEq,neonatal jaundice,precision,1.0
BC-FuzzyEq,neonatal jaundice,recall,0.1111111111111111
BC-FuzzyEq,neonatal jaundice,f1,0.19999999999999998
BC-FuzzyEq,neonatal jaundice,accuracy,0.9840637450199203
BC-FuzzyEq,neonatal jaundice,specificity,1.0
BC-FuzzyEq,neonatal jaundice,kappa,0.19712115153938284
BC-Curated,neonatal jaundice,precision,1.0
BC-Curated,neonatal jaundice,recall,0.5555555555555556
BC-Curated,neonatal jaundice,f1,0.7142857142857143
BC-Curated,neonatal jaundice,accuracy,0.9920318725099602
BC-Curated,neonatal jaundice,specificity,1.0
BC-Curated,neonatal jaundice,kappa,0.7105794176996257
BC-EmbedEq,neonatal jaundice,precision,1.0
BC-EmbedEq,neonatal jaundice,recall,0.4444444444444444
BC-EmbedEq,neonatal jaundice,f1,0.6153846153846153
BC-EmbedEq,neonatal jaundice,accuracy,0.9900398406374502
BC-EmbedEq,neonatal jaundice,specificity,1.0
BC-EmbedEq,neonatal jaundice,kappa,0.6110938952587538
BC-Final,neonatal jaundice,precision,1.0
BC-Final,neonatal jaundice,recall,0.5555555555555556
BC-Final,neonatal jaundice,f1,0.7142857142857143
BC-Final,neonatal jaundice,accuracy,0.9920318725099602
BC-Final,neonatal jaundice,specificity,1.0
BC-Final,neonatal jaundice,kappa,0.7105794176996257
gpt,neonatal jaundice,precision,1.0
gpt,neonatal jaundice,recall,0.4444444444444444
gpt,neonatal jaundice,f1,0.6153846153846153
gpt,neonatal jaundice,accuracy,0.9900398406374502
gpt,neonatal jaundice,specificity,1.0
gpt,neonatal jaundice,kappa,0.6110938952587538
grok,neonatal jaundice,precision,1.0
grok,neonatal jaundice,recall,0.3333333333333333
grok,neonatal jaundice,f1,0.5
grok,neonatal jaundice,accuracy,0.9880478087649402
grok,neonatal jaundice,specificity,1.0
grok,neonatal jaundice,kappa,0.4954773869346735
gemini,neonatal jaundice,precision,0.45
gemini,neonatal jaundice,recall,1.0
gemini,neonatal jaundice,f1,0.6206896551724138
gemini,neonatal jaundice,accuracy,0.9780876494023905
gemini,neonatal jaundice,specificity,0.9776876267748479
gemini,neonatal jaundice,kappa,0.611071981969292
llama,neonatal jaundice,precision,1.0
llama,neonatal jaundice,recall,0.7777777777777778
llama,neonatal jaundice,f1,0.8750000000000001
llama,neonatal jaundice,accuracy,0.9960159362549801
llama,neonatal jaundice,specificity,1.0
llama,neonatal jaundice,kappa,0.8730078421452061
BC-FuzzyEq,down syndrome,precision,1.0
BC-FuzzyEq,down syndrome,recall,0.17647058823529413
BC-FuzzyEq,down syndrome,f1,0.3
BC-FuzzyEq,down syndrome,accuracy,0.9442231075697212
BC-FuzzyEq,down syndrome,specificity,1.0
BC-FuzzyEq,down syndrome,kappa,0.2854819032126883
BC-Curated,down syndrome,precision,1.0
BC-Curated,down syndrome,recall,0.20588235294117646
BC-Curated,down syndrome,f1,0.34146341463414637
BC-Curated,down syndrome,accuracy,0.9462151394422311
BC-Curated,down syndrome,specificity,1.0
BC-Curated,down syndrome,kappa,0.3258728737690247
BC-EmbedEq,down syndrome,precision,1.0
BC-EmbedEq,down syndrome,recall,0.8823529411764706
BC-EmbedEq,down syndrome,f1,0.9375
BC-EmbedEq,down syndrome,accuracy,0.9920318725099602
BC-EmbedEq,down syndrome,specificity,1.0
BC-EmbedEq,down syndrome,kappa,0.9332624302047329
BC-Final,down syndrome,precision,1.0
BC-Final,down syndrome,recall,0.9117647058823529
BC-Final,down syndrome,f1,0.9538461538461539
BC-Final,down syndrome,accuracy,0.9940239043824701
BC-Final,down syndrome,specificity,1.0
BC-Final,down syndrome,kappa,0.9506585413799883
gpt,down syndrome,precision,1.0
gpt,down syndrome,recall,0.2647058823529412
gpt,down syndrome,f1,0.4186046511627907
gpt,down syndrome,accuracy,0.950199203187251
gpt,down syndrome,specificity,1.0
gpt,down syndrome,kappa,0.40164012587012515
grok,down syndrome,precision,1.0
grok,down syndrome,recall,0.14705882352941177
grok,down syndrome,f1,0.25641025641025644
grok,down syndrome,accuracy,0.9422310756972112
grok,down syndrome,specificity,1.0
grok,down syndrome,kappa,0.24326853103233276
gemini,down syndrome,precision,1.0
gemini,down syndrome,recall,0.4117647058823529
gemini,down syndrome,f1,0.5833333333333334
gemini,down syndrome,accuracy,0.9601593625498008
gemini,down syndrome,specificity,1.0
gemini,down syndrome,kappa,0.566194262011753
llama,down syndrome,precision,1.0
llama,down syndrome,recall,0.47058823529411764
llama,down syndrome,f1,0.6399999999999999
llama,down syndrome,accuracy,0.9641434262948207
llama,down syndrome,specificity,1.0
llama,down syndrome,kappa,0.6236881559220394
BC-FuzzyEq,fever,precision,1.0
BC-FuzzyEq,fever,recall,0.36363636363636365
BC-FuzzyEq,fever,f1,0.5333333333333333
BC-FuzzyEq,fever,accuracy,0.9860557768924303
BC-FuzzyEq,fever,specificity,1.0
BC-FuzzyEq,fever,kappa,0.5278151034668104
BC-Curated,fever,precision,1.0
BC-Curated,fever,recall,0.2727272727272727
BC-Curated,fever,f1,0.42857142857142855
BC-Curated,fever,accuracy,0.9840637450199203
BC-Curated,fever,specificity,1.0
BC-Curated,fever,kappa,0.4231542660155132
BC-EmbedEq,fever,precision,0.4
BC-EmbedEq,fever,recall,0.7272727272727273
BC-EmbedEq,fever,f1,0.5161290322580645
BC-EmbedEq,fever,accuracy,0.9701195219123506
BC-EmbedEq,fever,specificity,0.9755600814663951
BC-EmbedEq,fever,kappa,0.5020499933871183
BC-Final,fever,precision,0.4
BC-Final,fever,recall,0.7272727272727273
BC-Final,fever,f1,0.5161290322580645
BC-Final,fever,accuracy,0.9701195219123506
BC-Final,fever,specificity,0.9755600814663951
BC-Final,fever,kappa,0.5020499933871183
gpt,fever,precision,1.0
gpt,fever,recall,0.36363636363636365
gpt,fever,f1,0.5333333333333333
gpt,fever,accuracy,0.9860557768924303
gpt,fever,specificity,1.0
gpt,fever,kappa,0.5278151034668104
grok,fever,precision,1.0
grok,fever,recall,0.45454545454545453
grok,fever,f1,0.625
grok,fever,accuracy,0.9880478087649402
grok,fever,specificity,1.0
grok,fever,kappa,0.6197929815703109
gemini,fever,precision,1.0
gemini,fever,recall,0.6363636363636364
gemini,fever,f1,0.7777777777777778
gemini,fever,accuracy,0.9920318725099602
gemini,fever,specificity,1.0
gemini,fever,kappa,0.7739247917135783
llama,fever,precision,1.0
llama,fever,recall,0.5454545454545454
llama,fever,f1,0.7058823529411764
llama,fever,accuracy,0.9900398406374502
llama,fever,specificity,1.0
llama,fever,kappa,0.7012616043799099
BC-FuzzyEq,covid-19,precision,1.0
BC-FuzzyEq,covid-19,recall,0.058823529411764705
BC-FuzzyEq,covid-19,f1,0.1111111111111111
BC-FuzzyEq,covid-19,accuracy,0.9681274900398407
BC-FuzzyEq,covid-19,specificity,1.0
BC-FuzzyEq,covid-19,kappa,0.10775383248167125
BC-Curated,covid-19,precision,1.0
BC-Curated,covid-19,recall,0.11764705882352941
BC-Curated,covid-19,f1,0.21052631578947367
BC-Curated,covid-19,accuracy,0.9701195219123506
BC-Curated,covid-19,specificity,1.0
BC-Curated,covid-19,kappa,0.20485744456177488
BC-EmbedEq,covid-19,precision,1.0
BC-EmbedEq,covid-19,recall,0.9411764705882353
BC-EmbedEq,covid-19,f1,0.9696969696969697
BC-EmbedEq,covid-19,accuracy,0.99800796812749
BC-EmbedEq,covid-19,specificity,1.0
BC-EmbedEq,covid-19,kappa,0.9686680813880915
BC-Final,covid-19,precision,1.0
BC-Final,covid-19,recall,0.9411764705882353
BC-Final,covid-19,f1,0.9696969696969697
BC-Final,covid-19,accuracy,0.99800796812749
BC-Final,covid-19,specificity,1.0
BC-Final,covid-19,kappa,0.9686680813880915
gpt,covid-19,precision,1.0
gpt,covid-19,recall,0.4117647058823529
gpt,covid-19,f1,0.5833333333333334
gpt,covid-19,accuracy,0.9800796812749004
gpt,covid-19,specificity,1.0
gpt,covid-19,kappa,0.57493649449619
grok,covid-19,precision,1.0
grok,covid-19,recall,0.6470588235294118
grok,covid-19,f1,0.7857142857142858
grok,covid-19,accuracy,0.9880478087649402
grok,covid-19,specificity,1.0
grok,covid-19,kappa,0.779856746089753
gemini,covid-19,precision,0.09565217391304348
gemini,covid-19,recall,0.6470588235294118
gemini,covid-19,f1,0.16666666666666669
gemini,covid-19,accuracy,0.7808764940239044
gemini,covid-19,specificity,0.7855670103092783
gemini,covid-19,kappa,0.1144112647143727
llama,covid-19,precision,1.0
llama,covid-19,recall,0.7058823529411765
llama,covid-19,f1,0.8275862068965517
llama,covid-19,accuracy,0.9900398406374502
llama,covid-19,specificity,1.0
llama,covid-19,kappa,0.8226148409893994
