gene_symbol,gene_full_name
CYP2D6,cytochrome P450 family 2 subfamily D member 6 (gene/pseudogene)
CYP2E1,cytochrome P450 family 2 subfamily E member 1
CYP2F1,cytochrome P450 family 2 subfamily F member 1
CYP2J2,cytochrome P450 family 2 subfamily J member 2
CYP2R1,cytochrome P450 family 2 subfamily R member 1
CYP3A4,cytochrome P450 family 3 subfamily A member 4
CYP3A43,cytochrome P450 family 3 subfamily A member 43
CYP3A5,cytochrome P450 family 3 subfamily A member 5
CYP3A7,cytochrome P450 family 3 subfamily A member 7
CYP3A7-CYP3A51P,CYP3A7-CYP3A51P readthrough
CYP46A1,cytochrome P450 family 46 subfamily A member 1
CYP4A11,cytochrome P450 family 4 subfamily A member 11
CYP4B1,cytochrome P450 family 4 subfamily B member 1
CYP4F11,cytochrome P450 family 4 subfamily F member 11
CYP4F12,cytochrome P450 family 4 subfamily F member 12
CYP4F2,cytochrome P450 family 4 subfamily F member 2
CYP4F3,cytochrome P450 family 4 subfamily F member 3
CYP4X1,cytochrome P450 family 4 subfamily X member 1
CYP4Z1,cytochrome P450 family 4 subfamily Z member 1
CYP51A1,cytochrome P450 family 51 subfamily A member 1
CYP7A1,cytochrome P450 family 7 subfamily A member 1
CYP7B1,cytochrome P450 family 7 subfamily B member 1
CYP8B1,cytochrome P450 family 8 subfamily B member 1
CYSLTR1,cysteinyl leukotriene receptor 1
CYSLTR2,cysteinyl leukotriene receptor 2
CYTH2,cytohesin 2
CYTH3,cytohesin 3
DAB2IP,DAB2 interacting protein
DAG1,dystroglycan 1
DAGLA,diacylglycerol lipase alpha
DAGLB,diacylglycerol lipase beta
DAND5,DAN domain BMP antagonist family member 5
DAO,D-amino acid oxidase
DAOA,D-amino acid oxidase activator
DAP,death associated protein
DAPK1,death associated protein kinase 1
DAPK2,death associated protein kinase 2
DAPK3,death associated protein kinase 3
DAPP1,dual adaptor of phosphotyrosine and 3-phosphoinositides 1
DARS1,aspartyl-tRNA synthetase 1
DARS2,"aspartyl-tRNA synthetase 2, mitochondrial"
DAXX,death domain associated protein
DAZ1,deleted in azoospermia 1
DAZL,deleted in azoospermia like
DBF4,DBF4-CDC7 kinase regulatory subunit
DBH,dopamine beta-hydroxylase
DBI,"diazepam binding inhibitor, acyl-CoA binding protein"
DBN1,drebrin 1
DBP,D-box binding PAR bZIP transcription factor
DBT,dihydrolipoamide branched chain transacylase E2
DCAF1,DDB1 and CUL4 associated factor 1
DCBLD1,"discoidin, CUB and LCCL domain containing 1"
DCC,DCC netrin 1 receptor
DCD,dermcidin
DCK,deoxycytidine kinase
DCLK1,doublecortin like kinase 1
DCLK2,doublecortin like kinase 2
DCLK3,doublecortin like kinase 3
DCLRE1A,DNA cross-link repair 1A
DCLRE1B,DNA cross-link repair 1B
DCLRE1C,DNA cross-link repair 1C
DCN,decorin
DCP1B,decapping mRNA 1B
DCPS,"decapping enzyme, scavenger"
DCT,dopachrome tautomerase
DCTD,dCMP deaminase
DCTN1,dynactin subunit 1
DCTPP1,dCTP pyrophosphatase 1
DCUN1D1,defective in cullin neddylation 1 domain containing 1
DCUN1D2,defective in cullin neddylation 1 domain containing 2
DCUN1D3,defective in cullin neddylation 1 domain containing 3
DCUN1D4,defective in cullin neddylation 1 domain containing 4
DCUN1D5,defective in cullin neddylation 1 domain containing 5
DCX,doublecortin
DCXR,dicarbonyl and L-xylulose reductase
DDAH1,dimethylarginine dimethylaminohydrolase 1
DDAH2,"DDAH family member 2, ADMA-independent"
DDB1,damage specific DNA binding protein 1
DDC,dopa decarboxylase
DDHD1,DDHD domain containing 1
DDIT3,DNA damage inducible transcript 3
DDIT4,DNA damage inducible transcript 4
DDO,D-aspartate oxidase
DDOST,dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit
DDR1,discoidin domain receptor tyrosine kinase 1
DDR2,discoidin domain receptor tyrosine kinase 2
DDX1,DEAD-box helicase 1
DDX10,DEAD-box helicase 10
DDX39B,DExD-box helicase 39B
DDX3X,DEAD-box helicase 3 X-linked
DDX42,DEAD-box helicase 42
DDX5,DEAD-box helicase 5
DDX53,DEAD-box helicase 53
DDX6,DEAD-box helicase 6
DECR1,"2,4-dienoyl-CoA reductase 1"
DEFA1,defensin alpha 1
DEFA5,defensin alpha 5
DEFB4A,defensin beta 4A
DEGS1,"delta 4-desaturase, sphingolipid 1"
DEPTOR,DEP domain containing MTOR interacting protein
DES,desmin
DFFB,DNA fragmentation factor subunit beta
DGAT1,diacylglycerol O-acyltransferase 1
DGAT2,diacylglycerol O-acyltransferase 2
DGKA,diacylglycerol kinase alpha
DGKB,diacylglycerol kinase beta
DGKD,diacylglycerol kinase delta
DGKE,diacylglycerol kinase epsilon
DGKG,diacylglycerol kinase gamma
DGKH,diacylglycerol kinase eta
DGKI,diacylglycerol kinase iota
DGKK,diacylglycerol kinase kappa
DGKQ,diacylglycerol kinase theta
DGKZ,diacylglycerol kinase zeta
DGUOK,deoxyguanosine kinase
DHCR24,24-dehydrocholesterol reductase
DHCR7,7-dehydrocholesterol reductase
DHFR,dihydrofolate reductase
DHFR2,dihydrofolate reductase 2
DHFRP1,dihydrofolate reductase pseudogene 1
DHODH,dihydroorotate dehydrogenase (quinone)
DHPS,deoxyhypusine synthase
DHRS11,dehydrogenase/reductase 11
DHRS4L1,dehydrogenase/reductase 4 like 1 (pseudogene)
DHRS4L2,dehydrogenase/reductase 4 like 2
DHRS9,dehydrogenase/reductase 9
DHX30,DExH-box helicase 30
DHX36,DEAH-box helicase 36
DHX9,DExH-box helicase 9
DIABLO,diablo IAP-binding mitochondrial protein
DIAPH3,diaphanous related formin 3
DIO3,iodothyronine deiodinase 3
DKK1,dickkopf Wnt signaling pathway inhibitor 1
DLAT,dihydrolipoamide S-acetyltransferase
DLD,dihydrolipoamide dehydrogenase
DLG2,discs large MAGUK scaffold protein 2
DLG4,discs large MAGUK scaffold protein 4
DLG5,discs large MAGUK scaffold protein 5
DLK1,delta like non-canonical Notch ligand 1
DLX3,distal-less homeobox 3
DLX4,distal-less homeobox 4
DLX5,distal-less homeobox 5
DLX6,distal-less homeobox 6
DMC1,DNA meiotic recombinase 1
DMD,dystrophin
DMP1,dentin matrix acidic phosphoprotein 1
DMPK,DM1 protein kinase
DMTN,dematin actin binding protein
DMWD,"DM1 locus, WD repeat containing"
DMXL1,Dmx like 1
DNA2,DNA replication helicase/nuclease 2
DNAAF9,dynein axonemal assembly factor 9
DNAH6,dynein axonemal heavy chain 6
DNAH9,dynein axonemal heavy chain 9
DNAJA1,DnaJ heat shock protein family (Hsp40) member A1
DNASE1,deoxyribonuclease 1
DNASE1L3,deoxyribonuclease 1L3
DNM1,dynamin 1
DNM1L,dynamin 1 like
DNM2,dynamin 2
DNMT1,DNA methyltransferase 1
DNMT3A,DNA methyltransferase 3 alpha
DNMT3B,DNA methyltransferase 3 beta
DNMT3L,DNA methyltransferase 3 like
DNPEP,aspartyl aminopeptidase
DNPH1,2'-deoxynucleoside 5'-phosphate N-hydrolase 1
DNTT,DNA nucleotidylexotransferase
DOCK2,dedicator of cytokinesis 2
DOCK3,dedicator of cytokinesis 3
DOCK5,dedicator of cytokinesis 5
DOCK8,dedicator of cytokinesis 8
DOHH,deoxyhypusine hydroxylase
DOK5,docking protein 5
DOT1L,DOT1 like histone lysine methyltransferase
DPAGT1,dolichyl-phosphate N-acetylglucosaminephosphotransferase 1
DPEP1,dipeptidase 1
DPH1,diphthamide biosynthesis 1
DPH2,diphthamide biosynthesis 2
DPH5,diphthamide biosynthesis 5
DPP3,dipeptidyl peptidase 3
DPP4,dipeptidyl peptidase 4
DPP6,dipeptidyl peptidase like 6
DPP7,dipeptidyl peptidase 7
DPP8,dipeptidyl peptidase 8
DPP9,dipeptidyl peptidase 9
DPT,dermatopontin
DPY30,dpy-30 histone methyltransferase complex regulatory subunit
DPYD,dihydropyrimidine dehydrogenase
DPYS,dihydropyrimidinase
DPYSL2,dihydropyrimidinase like 2
DPYSL3,dihydropyrimidinase like 3
DR1,down-regulator of transcription 1
DRAM1,DNA damage regulated autophagy modulator 1
DRD1,dopamine receptor D1
DRD2,dopamine receptor D2
DRD3,dopamine receptor D3
DRD4,dopamine receptor D4
DRD5,dopamine receptor D5
DRG2,developmentally regulated GTP binding protein 2
DRP2,dystrophin related protein 2
DSC1,desmocollin 1
DSC2,desmocollin 2
DSC3,desmocollin 3
DSCAM,DS cell adhesion molecule
DSE,dermatan sulfate epimerase
DSG1,desmoglein 1
DSG3,desmoglein 3
DSP,desmoplakin
DST,dystonin
DSTN,"destrin, actin depolymerizing factor"
DSTYK,dual serine/threonine and tyrosine protein kinase
DTNA,dystrobrevin alpha
DTNB,dystrobrevin beta
DTNBP1,dystrobrevin binding protein 1
DTX1,deltex E3 ubiquitin ligase 1
DTYMK,deoxythymidylate kinase
DUOX2,dual oxidase 2
DUS2,dihydrouridine synthase 2
DUSP1,dual specificity phosphatase 1
DUSP10,dual specificity phosphatase 10
DUSP14,dual specificity phosphatase 14
DUSP15,dual specificity phosphatase 15
DUSP2,dual specificity phosphatase 2
DUSP22,dual specificity phosphatase 22
DUSP23,dual specificity phosphatase 23
DUSP26,dual specificity phosphatase 26
DUSP3,dual specificity phosphatase 3
DUSP4,dual specificity phosphatase 4
DUSP5,dual specificity phosphatase 5
DUSP6,dual specificity phosphatase 6
DUT,deoxyuridine triphosphatase
DUX1,double homeobox 1
DVL1,dishevelled segment polarity protein 1
DVL2,dishevelled segment polarity protein 2
DVL3,dishevelled segment polarity protein 3
DXO,decapping exoribonuclease
DYNC2H1,dynein cytoplasmic 2 heavy chain 1
DYRK1A,dual specificity tyrosine phosphorylation regulated kinase 1A
DYRK1B,dual specificity tyrosine phosphorylation regulated kinase 1B
DYRK2,dual specificity tyrosine phosphorylation regulated kinase 2
DYRK3,dual specificity tyrosine phosphorylation regulated kinase 3
DYRK4,dual specificity tyrosine phosphorylation regulated kinase 4
E2F1,E2F transcription factor 1
E2F7,E2F transcription factor 7
EARS2,"glutamyl-tRNA synthetase 2, mitochondrial"
EBF1,EBF transcription factor 1
EBP,EBP cholestenol delta-isomerase
EBPL,EBP like
ECE1,endothelin converting enzyme 1
ECE2,endothelin converting enzyme 2
ECH1,enoyl-CoA hydratase 1
ECHS1,"enoyl-CoA hydratase, short chain 1"
ECI1,enoyl-CoA delta isomerase 1
ECI2,enoyl-CoA delta isomerase 2
ECM2,extracellular matrix protein 2
EDN1,endothelin 1
EDNRA,endothelin receptor type A
EDNRB,endothelin receptor type B
EEA1,early endosome antigen 1
EED,embryonic ectoderm development
EEF1A1,eukaryotic translation elongation factor 1 alpha 1
EEF1A2,eukaryotic translation elongation factor 1 alpha 2
EEF1AKMT4-ECE2,EEF1AKMT4-ECE2 readthrough
EEF1B2,eukaryotic translation elongation factor 1 beta 2
EEF1D,eukaryotic translation elongation factor 1 delta
EEF1G,eukaryotic translation elongation factor 1 gamma
EEF2,eukaryotic translation elongation factor 2
EEF2K,eukaryotic elongation factor 2 kinase
EFL1,elongation factor like GTPase 1
EFNA1,ephrin A1
EFNA2,ephrin A2
EFNA3,ephrin A3
EFNA4,ephrin A4
EFNA5,ephrin A5
EFNB1,ephrin B1
EFNB2,ephrin B2
EFNB3,ephrin B3
EFR3A,EFR3 homolog A
EGF,epidermal growth factor
EGFR,epidermal growth factor receptor
EGLN1,egl-9 family hypoxia inducible factor 1
EGLN2,egl-9 family hypoxia inducible factor 2
EGLN3,egl-9 family hypoxia inducible factor 3
EGR1,early growth response 1
EGR2,early growth response 2
EGR3,early growth response 3
EGR4,early growth response 4
EHD1,EH domain containing 1
EHF,ETS homologous factor
EHHADH,enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase
EHMT1,euchromatic histone lysine methyltransferase 1
EHMT2,euchromatic histone lysine methyltransferase 2
EIF2AK1,eukaryotic translation initiation factor 2 alpha kinase 1
EIF2AK2,eukaryotic translation initiation factor 2 alpha kinase 2
EIF2AK3,eukaryotic translation initiation factor 2 alpha kinase 3
EIF2AK4,eukaryotic translation initiation factor 2 alpha kinase 4
EIF2B1,eukaryotic translation initiation factor 2B subunit alpha
EIF2S1,eukaryotic translation initiation factor 2 subunit alpha
EIF3F,eukaryotic translation initiation factor 3 subunit F
EIF4A1,eukaryotic translation initiation factor 4A1
EIF4A3,eukaryotic translation initiation factor 4A3
EIF4B,eukaryotic translation initiation factor 4B
EIF4E,eukaryotic translation initiation factor 4E
EIF4E2,eukaryotic translation initiation factor 4E family member 2
EIF4EBP1,eukaryotic translation initiation factor 4E binding protein 1
EIF4EBP2,eukaryotic translation initiation factor 4E binding protein 2
EIF4G1,eukaryotic translation initiation factor 4 gamma 1
EIF4G2,eukaryotic translation initiation factor 4 gamma 2
EIF4H,eukaryotic translation initiation factor 4H
EIF5,eukaryotic translation initiation factor 5
EIF5B,eukaryotic translation initiation factor 5B
EIF6,eukaryotic translation initiation factor 6
ELANE,"elastase, neutrophil expressed"
ELAVL1,ELAV like RNA binding protein 1
ELAVL2,ELAV like RNA binding protein 2
ELAVL3,ELAV like RNA binding protein 3
ELF1,E74 like ETS transcription factor 1
ELF2,E74 like ETS transcription factor 2
ELF3,E74 like ETS transcription factor 3
ELF4,E74 like ETS transcription factor 4
ELF5,E74 like ETS transcription factor 5
ELK1,ETS transcription factor ELK1
ELK3,ETS transcription factor ELK3
ELK4,ETS transcription factor ELK4
ELN,elastin
ELOVL1,ELOVL fatty acid elongase 1
ELOVL2,ELOVL fatty acid elongase 2
ELOVL3,ELOVL fatty acid elongase 3
ELOVL5,ELOVL fatty acid elongase 5
ELOVL6,ELOVL fatty acid elongase 6
ELP5,elongator acetyltransferase complex subunit 5
ELSPBP1,epididymal sperm binding protein 1
EMD,emerin
EMG1,EMG1 N1-specific pseudouridine methyltransferase
EML1,EMAP like 1
EML4,EMAP like 4
EMP1,epithelial membrane protein 1
EMP2,epithelial membrane protein 2
EMP3,epithelial membrane protein 3 (MAM blood group)
EMX1,empty spiracles homeobox 1
EMX2,empty spiracles homeobox 2
EN1,engrailed homeobox 1
EN2,engrailed homeobox 2
ENG,endoglin
ENGASE,endo-beta-N-acetylglucosaminidase
ENO1,enolase 1
ENO2,enolase 2
ENO3,enolase 3
ENOPH1,enolase-phosphatase 1
ENOSF1,enolase superfamily member 1
ENOX2,ecto-NOX disulfide-thiol exchanger 2
ENPEP,glutamyl aminopeptidase
ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1
ENPP2,ectonucleotide pyrophosphatase/phosphodiesterase 2
ENPP3,ectonucleotide pyrophosphatase/phosphodiesterase 3
ENSA,endosulfine alpha
ENTPD1,ectonucleoside triphosphate diphosphohydrolase 1
ENTPD2,ectonucleoside triphosphate diphosphohydrolase 2
ENTPD3,ectonucleoside triphosphate diphosphohydrolase 3
ENTPD5,ectonucleoside triphosphate diphosphohydrolase 5 (inactive)
ENTPD8,ectonucleoside triphosphate diphosphohydrolase 8
EOMES,eomesodermin
EP300,EP300 lysine acetyltransferase
EPAS1,endothelial PAS domain protein 1
EPB41,erythrocyte membrane protein band 4.1
EPCAM,epithelial cell adhesion molecule
EPHA1,EPH receptor A1
EPHA2,EPH receptor A2
EPHA3,EPH receptor A3
EPHA4,EPH receptor A4
EPHA5,EPH receptor A5
EPHA6,EPH receptor A6
EPHA7,EPH receptor A7
EPHA8,EPH receptor A8
EPHB1,EPH receptor B1
EPHB2,EPH receptor B2
EPHB3,EPH receptor B3
EPHB4,EPH receptor B4
EPHB6,EPH receptor B6
EPHX1,epoxide hydrolase 1
EPHX2,epoxide hydrolase 2
EPM2A,"EPM2A glucan phosphatase, laforin"
EPM2AIP1,EPM2A interacting protein 1
EPN1,epsin 1
EPO,erythropoietin
EPOR,erythropoietin receptor
EPRS1,glutamyl-prolyl-tRNA synthetase 1
EPS15,epidermal growth factor receptor pathway substrate 15
EPS8,"EGFR pathway substrate 8, signaling adaptor"
EPX,eosinophil peroxidase
EPYC,epiphycan
ERAP1,endoplasmic reticulum aminopeptidase 1
ERAP2,endoplasmic reticulum aminopeptidase 2
ERBB2,erb-b2 receptor tyrosine kinase 2
ERBB3,erb-b2 receptor tyrosine kinase 3
ERBB4,erb-b2 receptor tyrosine kinase 4
ERCC1,"ERCC excision repair 1, endonuclease non-catalytic subunit"
ERCC2,"ERCC excision repair 2, TFIIH core complex helicase subunit"
ERCC3,"ERCC excision repair 3, TFIIH core complex helicase subunit"
ERCC4,"ERCC excision repair 4, endonuclease catalytic subunit"
ERCC5,"ERCC excision repair 5, endonuclease"
ERCC6,"ERCC excision repair 6, chromatin remodeling factor"
ERCC8,"ERCC excision repair 8, CSA ubiquitin ligase complex subunit"
EREG,epiregulin
ERF,ETS2 repressor factor
ERG,ETS transcription factor ERG
ERICH3,glutamate rich 3
ERN1,endoplasmic reticulum to nucleus signaling 1
ERN2,endoplasmic reticulum to nucleus signaling 2
ERO1A,endoplasmic reticulum oxidoreductase 1 alpha
ERO1B,endoplasmic reticulum oxidoreductase 1 beta
ERV3-1,"endogenous retrovirus group 3 member 1, envelope"
ESD,esterase D
ESR1,estrogen receptor 1
ESR2,estrogen receptor 2
ESRRA,estrogen related receptor alpha
ESRRB,estrogen related receptor beta
ESRRG,estrogen related receptor gamma
ESYT2,extended synaptotagmin 2
ETFB,electron transfer flavoprotein subunit beta
ETFDH,electron transfer flavoprotein dehydrogenase
ETS2,"ETS proto-oncogene 2, transcription factor"
ETV2,ETS variant transcription factor 2
ETV3,ETS variant transcription factor 3
ETV4,ETS variant transcription factor 4
ETV6,ETS variant transcription factor 6
EVC,EvC ciliary complex subunit 1
EVPL,envoplakin
EWSR1,EWS RNA binding protein 1
EXO1,exonuclease 1
EXOC4,exocyst complex component 4
EXT2,exostosin glycosyltransferase 2
EXTL1,exostosin like glycosyltransferase 1
EXTL2,exostosin like glycosyltransferase 2
EXTL3,exostosin like glycosyltransferase 3
EYA1,EYA transcriptional coactivator and phosphatase 1
EYA2,EYA transcriptional coactivator and phosphatase 2
EYA3,EYA transcriptional coactivator and phosphatase 3
EYA4,EYA transcriptional coactivator and phosphatase 4
EZH1,enhancer of zeste 1 polycomb repressive complex 2 subunit
EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit
EZR,ezrin
F10,coagulation factor X
F11,coagulation factor XI
F12,coagulation factor XII
F13A1,coagulation factor XIII A chain
F13B,coagulation factor XIII B chain
F2,"coagulation factor II, thrombin"
F2R,coagulation factor II thrombin receptor
F2RL1,F2R like trypsin receptor 1
F2RL2,coagulation factor II thrombin receptor like 2
F2RL3,F2R like thrombin or trypsin receptor 3
F3,"coagulation factor III, tissue factor"
F5,coagulation factor V
F7,coagulation factor VII
F8,coagulation factor VIII
F9,coagulation factor IX
FAAH,fatty acid amide hydrolase
FAAH2,fatty acid amide hydrolase 2
FABP1,fatty acid binding protein 1
FABP2,fatty acid binding protein 2
FABP3,fatty acid binding protein 3
FABP4,fatty acid binding protein 4
FABP5,fatty acid binding protein 5
FABP6,fatty acid binding protein 6
FABP7,fatty acid binding protein 7
FADS1,fatty acid desaturase 1
FADS2,fatty acid desaturase 2
FAH,fumarylacetoacetate hydrolase
FAM177A1,family with sequence similarity 177 member A1
FAM178B,family with sequence similarity 178 member B
FAM20C,FAM20C golgi associated secretory pathway kinase
FANCA,FA complementation group A
FANCC,FA complementation group C
FANCD2,FA complementation group D2
FANCF,FA complementation group F
FANCG,FA complementation group G
FAP,fibroblast activation protein alpha
FARP2,"FERM, ARH/RhoGEF and pleckstrin domain protein 2"
FARS2,"phenylalanyl-tRNA synthetase 2, mitochondrial"
FARSA,phenylalanyl-tRNA synthetase subunit alpha
FARSB,phenylalanyl-tRNA synthetase subunit beta
FAS,Fas cell surface death receptor
FASLG,Fas ligand
FASN,fatty acid synthase
FASTKD3,FAST kinase domains 3
FAT1,FAT atypical cadherin 1
FAU,FAU ubiquitin like and ribosomal protein S30 fusion
FBLN2,fibulin 2
FBN1,fibrillin 1
FBN2,fibrillin 2
FBN3,fibrillin 3
FBP1,fructose-bisphosphatase 1
FBP2,fructose-bisphosphatase 2
FBXL17,F-box and leucine rich repeat protein 17
FBXO3,F-box protein 3
FBXO41,F-box protein 41
FBXW7,F-box and WD repeat domain containing 7
FCAR,Fc alpha receptor
FCER1A,Fc epsilon receptor Ia
FCER1G,Fc epsilon receptor Ig
FCER2,Fc epsilon receptor II
FCGR1A,Fc gamma receptor Ia
FCGR2A,Fc gamma receptor IIa
FCGR2B,Fc gamma receptor IIb
FCGR3A,Fc gamma receptor IIIa
FCGR3B,Fc gamma receptor IIIb
FCGRT,Fc gamma receptor and transporter
FCHSD1,FCH and double SH3 domains 1
FCN1,ficolin 1
FCN2,ficolin 2
FCN3,ficolin 3
FDFT1,farnesyl-diphosphate farnesyltransferase 1
FDPS,farnesyl diphosphate synthase
FDX1,ferredoxin 1
FDXR,ferredoxin reductase
FECH,ferrochelatase
FEN1,flap structure-specific endonuclease 1
FER,FER tyrosine kinase
FES,"FES proto-oncogene, tyrosine kinase"
FFAR1,free fatty acid receptor 1
FFAR2,free fatty acid receptor 2
FFAR3,free fatty acid receptor 3
FFAR4,free fatty acid receptor 4
FGA,fibrinogen alpha chain
FGB,fibrinogen beta chain
FGD1,"FYVE, RhoGEF and PH domain containing 1"
FGD4,"FYVE, RhoGEF and PH domain containing 4"
FGF1,fibroblast growth factor 1
FGF12,fibroblast growth factor 12
FGF13,fibroblast growth factor 13
FGF14,fibroblast growth factor 14
FGF2,fibroblast growth factor 2
FGF22,fibroblast growth factor 22
FGF23,fibroblast growth factor 23
FGF3,fibroblast growth factor 3
FGF4,fibroblast growth factor 4
FGF6,fibroblast growth factor 6
FGF7,fibroblast growth factor 7
FGFR1,fibroblast growth factor receptor 1
FGFR1OP2,FGFR1 oncogene partner 2
FGFR2,fibroblast growth factor receptor 2
FGFR3,fibroblast growth factor receptor 3
FGFR3P1,fibroblast growth factor receptor 3 pseudogene 1
FGFR4,fibroblast growth factor receptor 4
FGFRL1,fibroblast growth factor receptor like 1
FGG,fibrinogen gamma chain
FGR,"FGR proto-oncogene, Src family tyrosine kinase"
FH,fumarate hydratase
FHIT,fragile histidine triad diadenosine triphosphatase
FHL1,four and a half LIM domains 1
FHL2,four and a half LIM domains 2
FIBCD1,fibrinogen C domain containing 1
FIP1L1,factor interacting with PAPOLA and CPSF1
FKBP1A,FKBP prolyl isomerase 1A
FKBP1B,FKBP prolyl isomerase 1B
FKBP2,FKBP prolyl isomerase 2
FKBP3,FKBP prolyl isomerase 3
FKBP4,FKBP prolyl isomerase 4
FKBP5,FKBP prolyl isomerase 5
FKBP8,FKBP prolyl isomerase 8
FLCN,folliculin
FLNA,filamin A
FLT1,fms related receptor tyrosine kinase 1
FLT3,fms related receptor tyrosine kinase 3
FLT4,fms related receptor tyrosine kinase 4
FMO1,flavin containing dimethylaniline monoxygenase 1
FMO2,flavin containing dimethylaniline monoxygenase 2
FMO3,flavin containing dimethylaniline monoxygenase 3
FMO5,flavin containing dimethylaniline monoxygenase 5
FMOD,fibromodulin
FN1,fibronectin 1
FNTA,"farnesyltransferase, CAAX box, subunit alpha"
FNTB,"farnesyltransferase, CAAX box, subunit beta"
FOLH1,folate hydrolase 1
FOLR1,folate receptor alpha
FOLR2,folate receptor beta
FOLR3,folate receptor gamma
FOS,"Fos proto-oncogene, AP-1 transcription factor subunit"
FOSB,"FosB proto-oncogene, AP-1 transcription factor subunit"
FOXA3,forkhead box A3
FOXG1,forkhead box G1
FOXL2,forkhead box L2
FOXM1,forkhead box M1
FOXO1,forkhead box O1
FOXO3,forkhead box O3
FOXP3,forkhead box P3
FPGS,folylpolyglutamate synthase
FPGT-TNNI3K,FPGT-TNNI3K readthrough
FPR1,formyl peptide receptor 1
FPR2,formyl peptide receptor 2
FPR3,formyl peptide receptor 3
FRK,fyn related Src family tyrosine kinase
FRS2,fibroblast growth factor receptor substrate 2
FRZB,frizzled related protein
FSCN1,fascin actin-bundling protein 1
FSHR,follicle stimulating hormone receptor
FSIP1,fibrous sheath interacting protein 1
FST,follistatin
FTCD,formimidoyltransferase cyclodeaminase
FTCDNL1,formiminotransferase cyclodeaminase N-terminal like
FTH1,ferritin heavy chain 1
FTL,ferritin light chain
FTO,FTO alpha-ketoglutarate dependent dioxygenase
FUBP1,far upstream element binding protein 1
FUCA1,alpha-L-fucosidase 1
FURIN,"furin, paired basic amino acid cleaving enzyme"
FUS,FUS RNA binding protein
FUT2,fucosyltransferase 2 (H blood group)
FUT4,fucosyltransferase 4
FUT5,fucosyltransferase 5
FUT6,fucosyltransferase 6
FUT7,fucosyltransferase 7
FUT8,fucosyltransferase 8
FXN,frataxin
FXR2,FMR1 autosomal homolog 2
FXYD2,FXYD domain containing ion transport regulator 2
FYB1,FYN binding protein 1
FYN,"FYN proto-oncogene, Src family tyrosine kinase"
FZD1,frizzled class receptor 1
FZD2,frizzled class receptor 2
FZD3,frizzled class receptor 3
FZD4,frizzled class receptor 4
FZD6,frizzled class receptor 6
FZD7,frizzled class receptor 7
FZD8,frizzled class receptor 8
G6PC1,glucose-6-phosphatase catalytic subunit 1
G6PD,glucose-6-phosphate dehydrogenase
GAA,alpha glucosidase
GAB1,GRB2 associated binding protein 1
GABBR1,gamma-aminobutyric acid type B receptor subunit 1
GABBR2,gamma-aminobutyric acid type B receptor subunit 2
GABPA,GA binding protein transcription factor subunit alpha
GABPB1,GA binding protein transcription factor subunit beta 1
GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1
GABRA2,gamma-aminobutyric acid type A receptor subunit alpha2
GABRA3,gamma-aminobutyric acid type A receptor subunit alpha3
GABRA4,gamma-aminobutyric acid type A receptor subunit alpha4
GABRA5,gamma-aminobutyric acid type A receptor subunit alpha5
GABRA6,gamma-aminobutyric acid type A receptor subunit alpha6
GABRB1,gamma-aminobutyric acid type A receptor subunit beta1
GABRB2,gamma-aminobutyric acid type A receptor subunit beta2
GABRB3,gamma-aminobutyric acid type A receptor subunit beta3
GABRD,gamma-aminobutyric acid type A receptor subunit delta
GABRE,gamma-aminobutyric acid type A receptor subunit epsilon
GABRG1,gamma-aminobutyric acid type A receptor subunit gamma1
GABRG2,gamma-aminobutyric acid type A receptor subunit gamma2
GABRG3,gamma-aminobutyric acid type A receptor subunit gamma3
GABRP,gamma-aminobutyric acid type A receptor subunit pi
GABRQ,gamma-aminobutyric acid type A receptor subunit theta
GABRR1,gamma-aminobutyric acid type A receptor subunit rho1
GABRR2,gamma-aminobutyric acid type A receptor subunit rho2
GABRR3,gamma-aminobutyric acid type A receptor subunit rho3
GAD1,glutamate decarboxylase 1
GAD2,glutamate decarboxylase 2
GADD45A,growth arrest and DNA damage inducible alpha
GADL1,GAD like acidic amino acid decarboxylase 1
GAK,cyclin G associated kinase
GAL,galanin and GMAP prepropeptide
GALC,galactosylceramidase
GALE,UDP-galactose-4-epimerase
GALK1,galactokinase 1
GALNT1,polypeptide N-acetylgalactosaminyltransferase 1
GALNT10,polypeptide N-acetylgalactosaminyltransferase 10
GALNT14,polypeptide N-acetylgalactosaminyltransferase 14
GALNT17,polypeptide N-acetylgalactosaminyltransferase 17
GALNT18,polypeptide N-acetylgalactosaminyltransferase 18
GALNT2,polypeptide N-acetylgalactosaminyltransferase 2
GALNT3,polypeptide N-acetylgalactosaminyltransferase 3
GALNT6,polypeptide N-acetylgalactosaminyltransferase 6
GALP,galanin like peptide
GALR1,galanin receptor 1
GALR2,galanin receptor 2
GALR3,galanin receptor 3
GALT,galactose-1-phosphate uridylyltransferase
GAMT,guanidinoacetate N-methyltransferase
GANAB,glucosidase II alpha subunit
GANC,"glucosidase alpha, neutral C"
GAPDH,glyceraldehyde-3-phosphate dehydrogenase
GAPDHS,"glyceraldehyde-3-phosphate dehydrogenase, spermatogenic"
